Varietal,Region,"Qty Available (1,000 Gallons)",Brix / Acid Ratio,Acid (%),Astringency (1-10 Scale),Color (1-10 Scale),Price (per 1K Gallons),Shipping
Hamlin,Brazil,672,10.5,0.006,3,3,500.00,100.00
Mosambi,India,400,6.5,0.014,7,1,310.00,150.00
Valencia,Florida,1200,12,0.0095,3,3,750.00,0.00
Hamlin,California,168,11,0.01,3,5,600.00,60.00
Gardner,Arizona,84,12,0.007,1,5,600.00,75.00
Sunstar,Texas,210,10,0.007,1,5,625.00,50.00
Jincheng,China,588,9,0.0135,7,3,440.00,120.00
Berna,Spain,168,15,0.011,4,8,600.00,110.00
Verna,Mexico,300,8,0.013,8,3,300.00,90.00
Biondo Commune,Egypt,210,13,0.013,3,5,460.00,130.00
Belladonna,Italy,180,14,0.005,3,9,505.00,115.00
